address,city,state,postal_code,price,facts and features,real estate provider,url,title,property_info,img,zestimate,daysOnZillow,rentZestimate,lat,long
"24557 Olde Orchard St #107, Novi, MI 48375",Novi,MI,48375,159900.0,"3 bds, 2.0 ba ,1328 sqft",Keller Williams Advantage,https://www.zillow.com/homedetails/24557-Olde-Orchard-St-107-Novi-MI-48375/2078441728_zpid/,Condo for sale,"{'zpid': 2078441728, 'streetAddress': '24557 Olde Orchard St #107', 'zipcode': '48375', 'city': 'Novi', 'state': 'MI', 'latitude': 42.46876, 'longitude': -83.441348, 'price': 159900.0, 'datePriceChanged': 1596827700000, 'bathrooms': 2.0, 'bedrooms': 3.0, 'livingArea': 1328.0, 'homeType': 'CONDO', 'homeStatus': 'FOR_SALE', 'photoCount': 26, 'imageLink': 'https://photos.zillowstatic.com/p_g/ISrhq9zndckyma0000000000.jpg', 'daysOnZillow': 20, 'isFeatured': False, 'shouldHighlight': False, 'brokerId': 15050, 'zestimate': 162662, 'listing_sub_type': {'is_FSBA': True}, 'priceReduction': '$10,100 (Aug 7)', 'isUnmappable': False, 'mediumImageLink': 'https://photos.zillowstatic.com/p_c/ISrhq9zndckyma0000000000.jpg', 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 159900.0, 'priceChange': -10100, 'timeOnZillow': 1596215160000, 'hiResImageLink': 'https://photos.zillowstatic.com/p_f/ISrhq9zndckyma0000000000.jpg', 'watchImageLink': 'https://photos.zillowstatic.com/p_j/ISrhq9zndckyma0000000000.jpg', 'tvImageLink': 'https://photos.zillowstatic.com/p_m/ISrhq9zndckyma0000000000.jpg', 'tvCollectionImageLink': 'https://photos.zillowstatic.com/p_l/ISrhq9zndckyma0000000000.jpg', 'tvHighResImageLink': 'https://photos.zillowstatic.com/p_n/ISrhq9zndckyma0000000000.jpg', 'desktopWebHdpImageLink': 'https://photos.zillowstatic.com/p_h/ISrhq9zndckyma0000000000.jpg', 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'unit': '# 107'}",https://photos.zillowstatic.com/p_e/ISrhq9zndckyma0000000000.jpg,162662,20,,42.46876,-83.441348
"22363 Peachtree #95, Novi, MI 48375",Novi,MI,48375,158000.0,"2 bds, 2.0 ba ,1100 sqft",RE/MAX New Trend,https://www.zillow.com/homedetails/22363-Peachtree-95-Novi-MI-48375/24556388_zpid/,Condo for sale,"{'zpid': 24556388, 'streetAddress': '22363 Peachtree #95', 'zipcode': '48375', 'city': 'Novi', 'state': 'MI', 'latitude': 42.452514, 'longitude': -83.441724, 'price': 158000.0, 'dateSold': 1517212800000, 'bathrooms': 2.0, 'bedrooms': 2.0, 'livingArea': 1100.0, 'homeType': 'CONDO', 'homeStatus': 'FOR_SALE', 'photoCount': 35, 'imageLink': 'https://photos.zillowstatic.com/p_g/ISrxqwxjsy27c31000000000.jpg', 'daysOnZillow': 17, 'isFeatured': False, 'shouldHighlight': False, 'brokerId': 15143, 'zestimate': 156123, 'rentZestimate': 1495, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'mediumImageLink': 'https://photos.zillowstatic.com/p_c/ISrxqwxjsy27c31000000000.jpg', 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 158000.0, 'timeOnZillow': 1596484140000, 'hiResImageLink': 'https://photos.zillowstatic.com/p_f/ISrxqwxjsy27c31000000000.jpg', 'watchImageLink': 'https://photos.zillowstatic.com/p_j/ISrxqwxjsy27c31000000000.jpg', 'tvImageLink': 'https://photos.zillowstatic.com/p_m/ISrxqwxjsy27c31000000000.jpg', 'tvCollectionImageLink': 'https://photos.zillowstatic.com/p_l/ISrxqwxjsy27c31000000000.jpg', 'tvHighResImageLink': 'https://photos.zillowstatic.com/p_n/ISrxqwxjsy27c31000000000.jpg', 'desktopWebHdpImageLink': 'https://photos.zillowstatic.com/p_h/ISrxqwxjsy27c31000000000.jpg', 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 140800.0, 'unit': '# 95'}",https://photos.zillowstatic.com/p_e/ISrxqwxjsy27c31000000000.jpg,156123,17,1495.0,42.452514,-83.441724
"2293 Austin Dr, Novi, MI 48377",Novi,MI,48377,165000.0,"2 bds, 1.0 ba ,1087 sqft",Robertson Brothers Company,https://www.zillow.com/homedetails/2293-Austin-Dr-Novi-MI-48377/24545866_zpid/,House for sale,"{'zpid': 24545866, 'streetAddress': '2293 Austin Dr', 'zipcode': '48377', 'city': 'Novi', 'state': 'MI', 'latitude': 42.507852, 'longitude': -83.477746, 'price': 165000.0, 'bathrooms': 1.0, 'bedrooms': 2.0, 'livingArea': 1087.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'photoCount': 10, 'imageLink': 'https://photos.zillowstatic.com/p_g/IS33vgsok1jce31000000000.jpg', 'daysOnZillow': 302, 'isFeatured': False, 'shouldHighlight': False, 'brokerId': 13886, 'zestimate': 161694, 'rentZestimate': 1350, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'mediumImageLink': 'https://photos.zillowstatic.com/p_c/IS33vgsok1jce31000000000.jpg', 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 165000.0, 'timeOnZillow': 1571843760000, 'hiResImageLink': 'https://photos.zillowstatic.com/p_f/IS33vgsok1jce31000000000.jpg', 'watchImageLink': 'https://photos.zillowstatic.com/p_j/IS33vgsok1jce31000000000.jpg', 'tvImageLink': 'https://photos.zillowstatic.com/p_m/IS33vgsok1jce31000000000.jpg', 'tvCollectionImageLink': 'https://photos.zillowstatic.com/p_l/IS33vgsok1jce31000000000.jpg', 'tvHighResImageLink': 'https://photos.zillowstatic.com/p_n/IS33vgsok1jce31000000000.jpg', 'desktopWebHdpImageLink': 'https://photos.zillowstatic.com/p_h/IS33vgsok1jce31000000000.jpg', 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 85400.0}",https://photos.zillowstatic.com/p_e/IS33vgsok1jce31000000000.jpg,161694,302,1350.0,42.507852,-83.477746
"24282 Thatcher Ct, Novi, MI 48375",Novi,MI,48375,489900.0,"4 bds, 4.0 ba ,3155 sqft",EXP Realty LLC,https://www.zillow.com/homedetails/24282-Thatcher-Ct-Novi-MI-48375/70871428_zpid/,House for sale,"{'zpid': 70871428, 'streetAddress': '24282 Thatcher Ct', 'zipcode': '48375', 'city': 'Novi', 'state': 'MI', 'latitude': 42.467306, 'longitude': -83.480265, 'price': 489900.0, 'dateSold': 1047283200000, 'datePriceChanged': 1594748160000, 'bathrooms': 4.0, 'bedrooms': 4.0, 'livingArea': 3155.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'photoCount': 32, 'imageLink': 'https://photos.zillowstatic.com/p_g/IS7uykkj5unosw0000000000.jpg', 'daysOnZillow': 136, 'isFeatured': False, 'shouldHighlight': False, 'brokerId': 13886, 'zestimate': 480294, 'rentZestimate': 3000, 'listing_sub_type': {'is_FSBA': True}, 'priceReduction': '$10,000 (Jul 14)', 'isUnmappable': False, 'mediumImageLink': 'https://photos.zillowstatic.com/p_c/IS7uykkj5unosw0000000000.jpg', 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 489900.0, 'priceChange': -10000, 'timeOnZillow': 1586207940000, 'hiResImageLink': 'https://photos.zillowstatic.com/p_f/IS7uykkj5unosw0000000000.jpg', 'watchImageLink': 'https://photos.zillowstatic.com/p_j/IS7uykkj5unosw0000000000.jpg', 'tvImageLink': 'https://photos.zillowstatic.com/p_m/IS7uykkj5unosw0000000000.jpg', 'tvCollectionImageLink': 'https://photos.zillowstatic.com/p_l/IS7uykkj5unosw0000000000.jpg', 'tvHighResImageLink': 'https://photos.zillowstatic.com/p_n/IS7uykkj5unosw0000000000.jpg', 'desktopWebHdpImageLink': 'https://photos.zillowstatic.com/p_h/IS7uykkj5unosw0000000000.jpg', 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 525200.0}",https://photos.zillowstatic.com/p_e/IS7uykkj5unosw0000000000.jpg,480294,136,3000.0,42.467306,-83.480265
"27023 La Rose, Novi, MI 48377",Novi,MI,48377,82000.0,"3 bds, 2.0 ba ,1728 sqft",,https://www.zillow.com/homedetails/27023-La-Rose-Novi-MI-48377/2078723418_zpid/,For sale by owner,"{'zpid': 2078723418, 'streetAddress': '27023 La Rose', 'zipcode': '48377', 'city': 'Novi', 'state': 'MI', 'latitude': 42.490408, 'longitude': -83.436609, 'price': 82000.0, 'bathrooms': 2.0, 'bedrooms': 3.0, 'livingArea': 1728.0, 'homeType': 'MANUFACTURED', 'homeStatus': 'FOR_SALE', 'photoCount': 10, 'imageLink': 'https://photos.zillowstatic.com/p_g/ISj797ri9j9so71000000000.jpg', 'daysOnZillow': 40, 'isFeatured': False, 'shouldHighlight': False, 'brokerId': 0, 'zestimate': 303698, 'listing_sub_type': {'is_FSBO': True}, 'isUnmappable': False, 'mediumImageLink': 'https://photos.zillowstatic.com/p_c/ISj797ri9j9so71000000000.jpg', 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 82000.0, 'timeOnZillow': 1594486320000, 'hiResImageLink': 'https://photos.zillowstatic.com/p_f/ISj797ri9j9so71000000000.jpg', 'watchImageLink': 'https://photos.zillowstatic.com/p_j/ISj797ri9j9so71000000000.jpg', 'tvImageLink': 'https://photos.zillowstatic.com/p_m/ISj797ri9j9so71000000000.jpg', 'tvCollectionImageLink': 'https://photos.zillowstatic.com/p_l/ISj797ri9j9so71000000000.jpg', 'tvHighResImageLink': 'https://photos.zillowstatic.com/p_n/ISj797ri9j9so71000000000.jpg', 'desktopWebHdpImageLink': 'https://photos.zillowstatic.com/p_h/ISj797ri9j9so71000000000.jpg', 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA'}",https://photos.zillowstatic.com/p_e/ISj797ri9j9so71000000000.jpg,303698,40,,42.490408,-83.436609
"26250 Fieldstone Dr, Novi, MI 48374",Novi,MI,48374,415000.0,"4 bds, 4.0 ba ,2754 sqft",Century 21 Curran & Oberski,https://www.zillow.com/homedetails/26250-Fieldstone-Dr-Novi-MI-48374/59993571_zpid/,Condo for sale,"{'zpid': 59993571, 'streetAddress': '26250 Fieldstone Dr', 'zipcode': '48374', 'city': 'Novi', 'state': 'MI', 'latitude': 42.481808, 'longitude': -83.542208, 'price': 415000.0, 'dateSold': 1542096000000, 'bathrooms': 4.0, 'bedrooms': 4.0, 'livingArea': 2754.0, 'homeType': 'CONDO', 'homeStatus': 'FOR_SALE', 'photoCount': 36, 'imageLink': 'https://photos.zillowstatic.com/p_g/ISrldayeglw2p10000000000.jpg', 'daysOnZillow': 1, 'isFeatured': False, 'shouldHighlight': False, 'brokerId': 13886, 'zestimate': 410000, 'rentZestimate': 2600, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'mediumImageLink': 'https://photos.zillowstatic.com/p_c/ISrldayeglw2p10000000000.jpg', 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 415000.0, 'timeOnZillow': 1597809900000, 'hiResImageLink': 'https://photos.zillowstatic.com/p_f/ISrldayeglw2p10000000000.jpg', 'watchImageLink': 'https://photos.zillowstatic.com/p_j/ISrldayeglw2p10000000000.jpg', 'tvImageLink': 'https://photos.zillowstatic.com/p_m/ISrldayeglw2p10000000000.jpg', 'tvCollectionImageLink': 'https://photos.zillowstatic.com/p_l/ISrldayeglw2p10000000000.jpg', 'tvHighResImageLink': 'https://photos.zillowstatic.com/p_n/ISrldayeglw2p10000000000.jpg', 'desktopWebHdpImageLink': 'https://photos.zillowstatic.com/p_h/ISrldayeglw2p10000000000.jpg', 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 377900.0}",https://photos.zillowstatic.com/p_e/ISrldayeglw2p10000000000.jpg,410000,1,2600.0,42.481808,-83.542208
"43061 Emerson Way, Novi, MI 48377",Novi,MI,48377,343800.0,"3 bds, 3.0 ba ,2253 sqft",RE/MAX New Trend,https://www.zillow.com/homedetails/43061-Emerson-Way-Novi-MI-48377/24546009_zpid/,House for sale,"{'zpid': 24546009, 'streetAddress': '43061 Emerson Way', 'zipcode': '48377', 'city': 'Novi', 'state': 'MI', 'latitude': 42.50681, 'longitude': -83.474603, 'price': 343800.0, 'dateSold': 1331107200000, 'datePriceChanged': 1597957620000, 'bathrooms': 3.0, 'bedrooms': 3.0, 'livingArea': 2253.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'photoCount': 47, 'imageLink': 'https://photos.zillowstatic.com/p_g/ISbtwx1e8ze2rj1000000000.jpg', 'daysOnZillow': 30, 'isFeatured': False, 'shouldHighlight': False, 'brokerId': 13886, 'zestimate': 344909, 'rentZestimate': 2440, 'listing_sub_type': {'is_FSBA': True}, 'priceReduction': '$5,200 (Aug 20)', 'isUnmappable': False, 'mediumImageLink': 'https://photos.zillowstatic.com/p_c/ISbtwx1e8ze2rj1000000000.jpg', 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 343800.0, 'priceChange': -5200, 'timeOnZillow': 1595340060000, 'hiResImageLink': 'https://photos.zillowstatic.com/p_f/ISbtwx1e8ze2rj1000000000.jpg', 'watchImageLink': 'https://photos.zillowstatic.com/p_j/ISbtwx1e8ze2rj1000000000.jpg', 'tvImageLink': 'https://photos.zillowstatic.com/p_m/ISbtwx1e8ze2rj1000000000.jpg', 'tvCollectionImageLink': 'https://photos.zillowstatic.com/p_l/ISbtwx1e8ze2rj1000000000.jpg', 'tvHighResImageLink': 'https://photos.zillowstatic.com/p_n/ISbtwx1e8ze2rj1000000000.jpg', 'desktopWebHdpImageLink': 'https://photos.zillowstatic.com/p_h/ISbtwx1e8ze2rj1000000000.jpg', 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 303900.0}",https://photos.zillowstatic.com/p_e/ISbtwx1e8ze2rj1000000000.jpg,344909,30,2440.0,42.50681,-83.474603
"23805 Wintergreen Cir, Novi, MI 48374",Novi,MI,48374,514900.0,"3 bds, 4.0 ba ,3285 sqft",Keller Williams Advantage,https://www.zillow.com/homedetails/23805-Wintergreen-Cir-Novi-MI-48374/24552734_zpid/,House for sale,"{'zpid': 24552734, 'streetAddress': '23805 Wintergreen Cir', 'zipcode': '48374', 'city': 'Novi', 'state': 'MI', 'latitude': 42.461518, 'longitude': -83.505591, 'price': 514900.0, 'dateSold': 1562828400000, 'bathrooms': 4.0, 'bedrooms': 3.0, 'livingArea': 3285.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'photoCount': 35, 'imageLink': 'https://photos.zillowstatic.com/p_g/ISjzy9ghrlkf1j1000000000.jpg', 'daysOnZillow': 6, 'isFeatured': False, 'shouldHighlight': False, 'brokerId': 15050, 'zestimate': 508378, 'rentZestimate': 3100, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'mediumImageLink': 'https://photos.zillowstatic.com/p_c/ISjzy9ghrlkf1j1000000000.jpg', 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 514900.0, 'timeOnZillow': 1597434300000, 'hiResImageLink': 'https://photos.zillowstatic.com/p_f/ISjzy9ghrlkf1j1000000000.jpg', 'watchImageLink': 'https://photos.zillowstatic.com/p_j/ISjzy9ghrlkf1j1000000000.jpg', 'tvImageLink': 'https://photos.zillowstatic.com/p_m/ISjzy9ghrlkf1j1000000000.jpg', 'tvCollectionImageLink': 'https://photos.zillowstatic.com/p_l/ISjzy9ghrlkf1j1000000000.jpg', 'tvHighResImageLink': 'https://photos.zillowstatic.com/p_n/ISjzy9ghrlkf1j1000000000.jpg', 'desktopWebHdpImageLink': 'https://photos.zillowstatic.com/p_h/ISjzy9ghrlkf1j1000000000.jpg', 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 586700.0}",https://photos.zillowstatic.com/p_e/ISjzy9ghrlkf1j1000000000.jpg,508378,6,3100.0,42.461518,-83.505591
"45668 Bristol Cir, Novi, MI 48377",Novi,MI,48377,419900.0,"4 bds, 4.0 ba ,3072 sqft",Millennium Prop & Mgt Co LLC,https://www.zillow.com/homedetails/45668-Bristol-Cir-Novi-MI-48377/24545700_zpid/,House for sale,"{'zpid': 24545700, 'streetAddress': '45668 Bristol Cir', 'zipcode': '48377', 'city': 'Novi', 'state': 'MI', 'latitude': 42.519902, 'longitude': -83.503457, 'price': 419900.0, 'dateSold': 963903600000, 'datePriceChanged': 1597414200000, 'bathrooms': 4.0, 'bedrooms': 4.0, 'livingArea': 3072.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'photoCount': 6, 'imageLink': 'https://photos.zillowstatic.com/p_g/ISjnhc16q60yuh0000000000.jpg', 'daysOnZillow': 37, 'isFeatured': False, 'shouldHighlight': False, 'brokerId': 13886, 'zestimate': 414626, 'rentZestimate': 2600, 'listing_sub_type': {'is_FSBA': True}, 'priceReduction': '$45,000 (Aug 14)', 'isUnmappable': False, 'mediumImageLink': 'https://photos.zillowstatic.com/p_c/ISjnhc16q60yuh0000000000.jpg', 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 419900.0, 'priceChange': -45000, 'timeOnZillow': 1594736940000, 'hiResImageLink': 'https://photos.zillowstatic.com/p_f/ISjnhc16q60yuh0000000000.jpg', 'watchImageLink': 'https://photos.zillowstatic.com/p_j/ISjnhc16q60yuh0000000000.jpg', 'tvImageLink': 'https://photos.zillowstatic.com/p_m/ISjnhc16q60yuh0000000000.jpg', 'tvCollectionImageLink': 'https://photos.zillowstatic.com/p_l/ISjnhc16q60yuh0000000000.jpg', 'tvHighResImageLink': 'https://photos.zillowstatic.com/p_n/ISjnhc16q60yuh0000000000.jpg', 'desktopWebHdpImageLink': 'https://photos.zillowstatic.com/p_h/ISjnhc16q60yuh0000000000.jpg', 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 421400.0}",https://photos.zillowstatic.com/p_e/ISjnhc16q60yuh0000000000.jpg,414626,37,2600.0,42.519902,-83.503457
"25857 Cheyenne Dr, Novi, MI 48374",Novi,MI,48374,574900.0,"4 bds, 5.0 ba ,3563 sqft",Real Estate One,https://www.zillow.com/homedetails/25857-Cheyenne-Dr-Novi-MI-48374/24546876_zpid/,House for sale,"{'zpid': 24546876, 'streetAddress': '25857 Cheyenne Dr', 'zipcode': '48374', 'city': 'Novi', 'state': 'MI', 'latitude': 42.47793, 'longitude': -83.505216, 'price': 574900.0, 'dateSold': 1203580800000, 'bathrooms': 5.0, 'bedrooms': 4.0, 'livingArea': 3563.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'photoCount': 54, 'imageLink': 'https://photos.zillowstatic.com/p_g/ISr16z8v9u1txa1000000000.jpg', 'daysOnZillow': 13, 'isFeatured': False, 'shouldHighlight': False, 'brokerId': 8330, 'zestimate': 567388, 'rentZestimate': 3900, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'mediumImageLink': 'https://photos.zillowstatic.com/p_c/ISr16z8v9u1txa1000000000.jpg', 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 574900.0, 'timeOnZillow': 1596823380000, 'hiResImageLink': 'https://photos.zillowstatic.com/p_f/ISr16z8v9u1txa1000000000.jpg', 'watchImageLink': 'https://photos.zillowstatic.com/p_j/ISr16z8v9u1txa1000000000.jpg', 'tvImageLink': 'https://photos.zillowstatic.com/p_m/ISr16z8v9u1txa1000000000.jpg', 'tvCollectionImageLink': 'https://photos.zillowstatic.com/p_l/ISr16z8v9u1txa1000000000.jpg', 'tvHighResImageLink': 'https://photos.zillowstatic.com/p_n/ISr16z8v9u1txa1000000000.jpg', 'desktopWebHdpImageLink': 'https://photos.zillowstatic.com/p_h/ISr16z8v9u1txa1000000000.jpg', 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 590400.0}",https://photos.zillowstatic.com/p_e/ISr16z8v9u1txa1000000000.jpg,567388,13,3900.0,42.47793,-83.505216
"44697 Ellery Ln #70, Novi, MI 48377",Novi,MI,48377,179999.0,"2 bds, 2.0 ba ,1039 sqft",Real Estate One,https://www.zillow.com/homedetails/44697-Ellery-Ln-70-Novi-MI-48377/70878759_zpid/,Condo for sale,"{'zpid': 70878759, 'streetAddress': '44697 Ellery Ln #70', 'zipcode': '48377', 'city': 'Novi', 'state': 'MI', 'latitude': 42.497088, 'longitude': -83.488765, 'price': 179999.0, 'dateSold': 1536303600000, 'bathrooms': 2.0, 'bedrooms': 2.0, 'livingArea': 1039.0, 'homeType': 'CONDO', 'homeStatus': 'FOR_SALE', 'photoCount': 11, 'imageLink': 'https://photos.zillowstatic.com/p_g/ISrt3snpogbt6b1000000000.jpg', 'daysOnZillow': 14, 'isFeatured': False, 'shouldHighlight': False, 'brokerId': 8330, 'zestimate': 181757, 'rentZestimate': 1500, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'mediumImageLink': 'https://photos.zillowstatic.com/p_c/ISrt3snpogbt6b1000000000.jpg', 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 179999.0, 'timeOnZillow': 1596736980000, 'hiResImageLink': 'https://photos.zillowstatic.com/p_f/ISrt3snpogbt6b1000000000.jpg', 'watchImageLink': 'https://photos.zillowstatic.com/p_j/ISrt3snpogbt6b1000000000.jpg', 'tvImageLink': 'https://photos.zillowstatic.com/p_m/ISrt3snpogbt6b1000000000.jpg', 'tvCollectionImageLink': 'https://photos.zillowstatic.com/p_l/ISrt3snpogbt6b1000000000.jpg', 'tvHighResImageLink': 'https://photos.zillowstatic.com/p_n/ISrt3snpogbt6b1000000000.jpg', 'desktopWebHdpImageLink': 'https://photos.zillowstatic.com/p_h/ISrt3snpogbt6b1000000000.jpg', 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 150900.0, 'unit': '# 70'}",https://photos.zillowstatic.com/p_e/ISrt3snpogbt6b1000000000.jpg,181757,14,1500.0,42.497088,-83.488765
"41162 Marks Dr, Novi, MI 48375",Novi,MI,48375,340900.0,"3 bds, 4.0 ba ,2190 sqft",Vision Realty Centers,https://www.zillow.com/homedetails/41162-Marks-Dr-Novi-MI-48375/24556107_zpid/,House for sale,"{'zpid': 24556107, 'streetAddress': '41162 Marks Dr', 'zipcode': '48375', 'city': 'Novi', 'state': 'MI', 'latitude': 42.447396, 'longitude': -83.451705, 'price': 340900.0, 'dateSold': 1055142000000, 'bathrooms': 4.0, 'bedrooms': 3.0, 'livingArea': 2190.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'photoCount': 1, 'imageLink': 'https://photos.zillowstatic.com/p_g/ISr1edl4ft6hzh1000000000.jpg', 'daysOnZillow': 43, 'isFeatured': False, 'shouldHighlight': False, 'brokerId': 13886, 'zestimate': 340902, 'rentZestimate': 2300, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'mediumImageLink': 'https://photos.zillowstatic.com/p_c/ISr1edl4ft6hzh1000000000.jpg', 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 340900.0, 'timeOnZillow': 1594181100000, 'hiResImageLink': 'https://photos.zillowstatic.com/p_f/ISr1edl4ft6hzh1000000000.jpg', 'watchImageLink': 'https://photos.zillowstatic.com/p_j/ISr1edl4ft6hzh1000000000.jpg', 'tvImageLink': 'https://photos.zillowstatic.com/p_m/ISr1edl4ft6hzh1000000000.jpg', 'tvCollectionImageLink': 'https://photos.zillowstatic.com/p_l/ISr1edl4ft6hzh1000000000.jpg', 'tvHighResImageLink': 'https://photos.zillowstatic.com/p_n/ISr1edl4ft6hzh1000000000.jpg', 'desktopWebHdpImageLink': 'https://photos.zillowstatic.com/p_h/ISr1edl4ft6hzh1000000000.jpg', 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 328000.0}",https://photos.zillowstatic.com/p_e/ISr1edl4ft6hzh1000000000.jpg,340902,43,2300.0,42.447396,-83.451705
"23737 Harvest Dr, Novi, MI 48375",Novi,MI,48375,324900.0,"3 bds, 2.0 ba ,1772 sqft",Reozom Real Estate Services,https://www.zillow.com/homedetails/23737-Harvest-Dr-Novi-MI-48375/24551916_zpid/,House for sale,"{'zpid': 24551916, 'streetAddress': '23737 Harvest Dr', 'zipcode': '48375', 'city': 'Novi', 'state': 'MI', 'latitude': 42.462922, 'longitude': -83.482911, 'price': 324900.0, 'datePriceChanged': 1596302340000, 'bathrooms': 2.0, 'bedrooms': 3.0, 'livingArea': 1772.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'photoCount': 19, 'imageLink': 'https://photos.zillowstatic.com/p_g/IS7ihr8lf4xj4f0000000000.jpg', 'daysOnZillow': 36, 'isFeatured': False, 'shouldHighlight': False, 'brokerId': 13886, 'zestimate': 324901, 'rentZestimate': 2300, 'listing_sub_type': {'is_FSBA': True}, 'priceReduction': '$15,000 (Aug 1)', 'isUnmappable': False, 'mediumImageLink': 'https://photos.zillowstatic.com/p_c/IS7ihr8lf4xj4f0000000000.jpg', 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 324900.0, 'priceChange': -15000, 'timeOnZillow': 1594840200000, 'hiResImageLink': 'https://photos.zillowstatic.com/p_f/IS7ihr8lf4xj4f0000000000.jpg', 'watchImageLink': 'https://photos.zillowstatic.com/p_j/IS7ihr8lf4xj4f0000000000.jpg', 'tvImageLink': 'https://photos.zillowstatic.com/p_m/IS7ihr8lf4xj4f0000000000.jpg', 'tvCollectionImageLink': 'https://photos.zillowstatic.com/p_l/IS7ihr8lf4xj4f0000000000.jpg', 'tvHighResImageLink': 'https://photos.zillowstatic.com/p_n/IS7ihr8lf4xj4f0000000000.jpg', 'desktopWebHdpImageLink': 'https://photos.zillowstatic.com/p_h/IS7ihr8lf4xj4f0000000000.jpg', 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 256900.0}",https://photos.zillowstatic.com/p_e/IS7ihr8lf4xj4f0000000000.jpg,324901,36,2300.0,42.462922,-83.482911
